Average Time,Activation,Observations,Dimensions,Depth
0.007196903228759766,ReLU,100,1,1
0.008350133895874023,Leaky_ReLU,100,1,1
0.007012128829956055,ELU,100,1,1
0.011739730834960938,PReLU,100,1,1
0.00630640983581543,SELU,100,1,1
0.015999794006347656,ALReLU,100,1,1
0.019577980041503906,ReLU,100,1,3
0.01142120361328125,Leaky_ReLU,100,1,3
0.023003578186035156,ELU,100,1,3
0.018091678619384766,PReLU,100,1,3
0.02036428451538086,SELU,100,1,3
0.0166475772857666,ALReLU,100,1,3
0.029844045639038086,ReLU,100,1,10
0.03835606575012207,Leaky_ReLU,100,1,10
0.07888936996459961,ELU,100,1,10
0.051346778869628906,PReLU,100,1,10
0.0372929573059082,SELU,100,1,10
0.04076266288757324,ALReLU,100,1,10
0.0870368480682373,ReLU,100,1,30
0.08553028106689453,Leaky_ReLU,100,1,30
0.0759592056274414,ELU,100,1,30
0.10791516304016113,PReLU,100,1,30
0.09179377555847168,SELU,100,1,30
0.1326303482055664,ALReLU,100,1,30
0.009164571762084961,ReLU,100,2,1
0.006038188934326172,Leaky_ReLU,100,2,1
0.006430864334106445,ELU,100,2,1
0.007112979888916016,PReLU,100,2,1
0.0070819854736328125,SELU,100,2,1
0.008324861526489258,ALReLU,100,2,1
0.010000467300415039,ReLU,100,2,3
0.013009071350097656,Leaky_ReLU,100,2,3
0.013692378997802734,ELU,100,2,3
0.014638423919677734,PReLU,100,2,3
0.012204647064208984,SELU,100,2,3
0.014142036437988281,ALReLU,100,2,3
0.033149003982543945,ReLU,100,2,10
0.037494659423828125,Leaky_ReLU,100,2,10
0.046424150466918945,ELU,100,2,10
0.0483701229095459,PReLU,100,2,10
0.028599023818969727,SELU,100,2,10
0.04819965362548828,ALReLU,100,2,10
0.08641529083251953,ReLU,100,2,30
0.11876249313354492,Leaky_ReLU,100,2,30
0.08312678337097168,ELU,100,2,30
0.13021469116210938,PReLU,100,2,30
0.1309196949005127,SELU,100,2,30
0.12364673614501953,ALReLU,100,2,30
0.007111072540283203,ReLU,100,5,1
0.007009744644165039,Leaky_ReLU,100,5,1
0.007285356521606445,ELU,100,5,1
0.007504940032958984,PReLU,100,5,1
0.007610321044921875,SELU,100,5,1
0.008904695510864258,ALReLU,100,5,1
0.011878013610839844,ReLU,100,5,3
0.012298345565795898,Leaky_ReLU,100,5,3
0.012259721755981445,ELU,100,5,3
0.014482736587524414,PReLU,100,5,3
0.03230881690979004,SELU,100,5,3
0.016834259033203125,ALReLU,100,5,3
0.0394902229309082,ReLU,100,5,10
0.028732776641845703,Leaky_ReLU,100,5,10
0.06530284881591797,ELU,100,5,10
0.08635425567626953,PReLU,100,5,10
0.07588648796081543,SELU,100,5,10
0.06393837928771973,ALReLU,100,5,10
0.1257486343383789,ReLU,100,5,30
0.07436180114746094,Leaky_ReLU,100,5,30
0.0881493091583252,ELU,100,5,30
0.14907550811767578,PReLU,100,5,30
0.09389424324035645,SELU,100,5,30
0.2401905059814453,ALReLU,100,5,30
0.0076367855072021484,ReLU,500,1,1
0.011198282241821289,Leaky_ReLU,500,1,1
0.006754636764526367,ELU,500,1,1
0.009840726852416992,PReLU,500,1,1
0.008046388626098633,SELU,500,1,1
0.010042905807495117,ALReLU,500,1,1
0.020586013793945312,ReLU,500,1,3
0.013387441635131836,Leaky_ReLU,500,1,3
0.011537551879882812,ELU,500,1,3
0.017394065856933594,PReLU,500,1,3
0.01429438591003418,SELU,500,1,3
0.021315813064575195,ALReLU,500,1,3
0.03235459327697754,ReLU,500,1,10
0.06545257568359375,Leaky_ReLU,500,1,10
0.037331581115722656,ELU,500,1,10
0.04056906700134277,PReLU,500,1,10
0.04551529884338379,SELU,500,1,10
0.05124378204345703,ALReLU,500,1,10
0.09199237823486328,ReLU,500,1,30
0.09757256507873535,Leaky_ReLU,500,1,30
0.08672022819519043,ELU,500,1,30
0.17272377014160156,PReLU,500,1,30
0.10381627082824707,SELU,500,1,30
0.12759137153625488,ALReLU,500,1,30
0.007863521575927734,ReLU,500,2,1
0.008268117904663086,Leaky_ReLU,500,2,1
0.010690927505493164,ELU,500,2,1
0.008846759796142578,PReLU,500,2,1
0.007707118988037109,SELU,500,2,1
0.013021230697631836,ALReLU,500,2,1
0.013683319091796875,ReLU,500,2,3
0.015577077865600586,Leaky_ReLU,500,2,3
0.014169454574584961,ELU,500,2,3
0.015565156936645508,PReLU,500,2,3
0.01627969741821289,SELU,500,2,3
0.022954940795898438,ALReLU,500,2,3
0.04439902305603027,ReLU,500,2,10
0.02862262725830078,Leaky_ReLU,500,2,10
0.04528450965881348,ELU,500,2,10
0.06831789016723633,PReLU,500,2,10
0.02956986427307129,SELU,500,2,10
0.04510188102722168,ALReLU,500,2,10
0.07996773719787598,ReLU,500,2,30
0.07808542251586914,Leaky_ReLU,500,2,30
0.08839058876037598,ELU,500,2,30
0.1301863193511963,PReLU,500,2,30
0.13925981521606445,SELU,500,2,30
0.13662409782409668,ALReLU,500,2,30
0.010648488998413086,ReLU,500,5,1
0.01706981658935547,Leaky_ReLU,500,5,1
0.020435571670532227,ELU,500,5,1
0.024141788482666016,PReLU,500,5,1
0.016127347946166992,SELU,500,5,1
0.019590377807617188,ALReLU,500,5,1
0.015394926071166992,ReLU,500,5,3
0.012478351593017578,Leaky_ReLU,500,5,3
0.01260519027709961,ELU,500,5,3
0.02769303321838379,PReLU,500,5,3
0.036492109298706055,SELU,500,5,3
0.018349409103393555,ALReLU,500,5,3
0.04159832000732422,ReLU,500,5,10
0.02991485595703125,Leaky_ReLU,500,5,10
0.03029918670654297,ELU,500,5,10
0.051451683044433594,PReLU,500,5,10
0.02800893783569336,SELU,500,5,10
0.04683089256286621,ALReLU,500,5,10
0.08599090576171875,ReLU,500,5,30
0.08090615272521973,Leaky_ReLU,500,5,30
0.1263720989227295,ELU,500,5,30
0.1133265495300293,PReLU,500,5,30
0.08356404304504395,SELU,500,5,30
0.14657902717590332,ALReLU,500,5,30
